number,winrate,activation_threshold,adv_vwap_std_thr,adx_thresh,allow_long,allow_short,close_position,cmf_thresh,enable_breakeven,lookback_minutes,max_pct,min_pct,min_trend_duration,min_trend_strength,momentum_thresh,obs_direction,observation_hours,rsi_buy,rsi_exit_ob,rsi_exit_os,rsi_sell,sl_std,tp1,tp2,tp3,tp_std,trailing_distance,use_adv_vwap,use_adx,use_bb,use_cmf,use_macd,use_momentum,use_obv,use_standard_sl_tp,use_vwap,loss_count,total_pnl,trade_count,win_count,state,datetime_start,datetime_complete,duration_seconds
27,0.625000,4.400000,1.600000,49.000000,True,True,False,0.400000,True,3270,37.400000,5.400000,14,1.400000,0.010500,plus,16,77.000000,93.000000,27.000000,28.000000,,0.300000,1.100000,1.800000,,6.910000,True,False,True,True,True,False,True,False,False,177.000000,-7.264511,472.000000,295.000000,COMPLETE,2025-04-27 18:32:16.110010,2025-04-27 18:32:17.557513,1.447503
60,0.615942,3.300000,2.800000,58.000000,True,True,True,0.200000,True,2730,54.500000,6.500000,1,3.000000,0.000500,plus,15,82.000000,92.000000,14.000000,33.000000,,3.900000,5.200000,17.400000,,7.010000,True,False,True,True,True,False,True,False,False,53.000000,-4.149211,138.000000,85.000000,COMPLETE,2025-04-27 18:33:34.123361,2025-04-27 18:33:36.818041,2.694680
45,0.615385,4.200000,3.000000,55.000000,True,True,False,0.250000,True,3420,50.400000,10.900000,5,2.800000,0.000500,plus,4,67.000000,88.000000,40.000000,30.000000,,2.800000,9.200000,10.300000,,7.210000,True,False,True,True,False,False,True,False,False,30.000000,-1.425565,78.000000,48.000000,COMPLETE,2025-04-27 18:32:49.607009,2025-04-27 18:32:50.984840,1.377831
29,0.605442,4.200000,2.300000,56.000000,True,True,True,0.000000,True,1770,41.500000,3.500000,15,2.300000,0.003500,plus,19,75.000000,84.000000,20.000000,27.000000,,4.200000,6.400000,9.900000,,7.010000,True,True,False,True,True,True,True,False,False,58.000000,2.958243,147.000000,89.000000,COMPLETE,2025-04-27 18:32:19.653327,2025-04-27 18:32:21.212318,1.558991
58,0.593220,3.800000,2.300000,50.000000,True,True,False,0.100000,False,690,53.100000,2.600000,5,4.200000,0.001000,plus,8,77.000000,85.000000,38.000000,8.000000,,3.200000,4.800000,7.800000,,5.610000,True,False,True,True,True,False,True,False,True,24.000000,-11.674088,59.000000,35.000000,COMPLETE,2025-04-27 18:33:26.612209,2025-04-27 18:33:29.604722,2.992513
78,0.588997,3.700000,2.800000,6.000000,True,True,False,0.300000,True,4050,51.200000,4.700000,13,2.900000,0.017000,both,58,66.000000,72.000000,13.000000,29.000000,,2.200000,7.900000,8.500000,,6.410000,False,False,True,True,True,False,False,False,False,127.000000,10.052842,309.000000,182.000000,COMPLETE,2025-04-27 18:34:32.920225,2025-04-27 18:34:35.911081,2.990856
49,0.585000,4.600000,2.400000,46.000000,True,True,False,0.000000,True,3210,35.300000,1.300000,7,0.300000,0.007000,minus,36,60.000000,86.000000,23.000000,6.000000,,1.300000,2.600000,4.100000,,6.110000,True,False,True,True,True,False,True,False,False,83.000000,0.726320,200.000000,117.000000,COMPLETE,2025-04-27 18:32:57.822581,2025-04-27 18:33:00.292105,2.469524
14,0.574468,3.800000,3.000000,45.000000,True,True,False,0.200000,True,30,33.500000,0.500000,15,3.700000,0.005500,plus,11,67.000000,84.000000,7.000000,22.000000,,2.500000,5.200000,7.300000,,6.510000,True,False,True,True,True,False,True,False,False,40.000000,-7.444901,94.000000,54.000000,COMPLETE,2025-04-27 18:31:54.449785,2025-04-27 18:31:56.571751,2.121966
8,0.567164,2.400000,1.900000,8.000000,False,True,False,-0.500000,True,3750,43.200000,9.700000,6,2.500000,0.007000,both,22,60.000000,95.000000,9.000000,43.000000,,1.100000,3.400000,4.600000,,6.210000,True,False,True,True,False,False,True,False,False,29.000000,-0.454016,67.000000,38.000000,COMPLETE,2025-04-27 18:31:44.290687,2025-04-27 18:31:46.219393,1.928706
30,0.562044,1.900000,2.000000,41.000000,True,True,False,0.450000,True,1350,51.300000,6.800000,12,3.000000,0.007000,both,8,84.000000,77.000000,8.000000,11.000000,,5.900000,7.000000,8.900000,,7.410000,True,False,True,True,True,False,True,False,False,60.000000,-14.190320,137.000000,77.000000,COMPLETE,2025-04-27 18:32:21.550956,2025-04-27 18:32:23.617771,2.066815
6,0.557522,,0.800000,20.000000,True,True,True,0.350000,,2190,47.400000,11.400000,5,2.600000,0.027500,both,24,89.000000,68.000000,34.000000,40.000000,0.060000,,,,0.045000,,False,True,True,False,False,False,False,True,True,100.000000,-4.926569,226.000000,126.000000,COMPLETE,2025-04-27 18:31:40.208779,2025-04-27 18:31:42.219555,2.010776
50,0.553459,2.500000,2.700000,18.000000,True,True,False,0.150000,True,4140,49.700000,3.700000,4,2.000000,0.009000,plus,4,73.000000,96.000000,6.000000,13.000000,,4.800000,5.900000,7.000000,,4.210000,False,False,True,True,True,True,True,False,False,71.000000,-13.343170,159.000000,88.000000,COMPLETE,2025-04-27 18:33:00.985788,2025-04-27 18:33:03.265286,2.279498
59,0.552901,3.000000,2.700000,55.000000,True,True,False,-0.150000,True,2040,57.100000,4.100000,13,1.100000,0.003000,plus,17,69.000000,85.000000,36.000000,29.000000,,5.300000,6.300000,7.700000,,6.410000,True,False,True,False,False,False,True,False,False,131.000000,-15.312454,293.000000,162.000000,COMPLETE,2025-04-27 18:33:29.898876,2025-04-27 18:33:32.955846,3.056970
19,0.537500,3.800000,2.400000,52.000000,True,True,False,0.000000,False,3780,39.100000,2.600000,13,2.900000,0.004000,plus,31,86.000000,98.000000,5.000000,9.000000,,7.000000,16.400000,31.000000,,8.010000,True,False,True,True,True,False,True,False,False,37.000000,-4.816253,80.000000,43.000000,COMPLETE,2025-04-27 18:32:02.651453,2025-04-27 18:32:04.255314,1.603861
43,0.529412,3.900000,0.200000,60.000000,True,True,False,0.050000,True,3690,55.800000,4.800000,6,2.400000,0.001500,plus,5,61.000000,96.000000,2.000000,17.000000,,3.500000,10.100000,11.200000,,7.610000,True,False,True,True,True,False,True,False,False,16.000000,-3.474462,34.000000,18.000000,COMPLETE,2025-04-27 18:32:46.526620,2025-04-27 18:32:48.029085,1.502465
