trial,selected_by,error,use_standard_sl_tp,stop_loss_parameter_binance,take_profit_parameter_binance,activation_threshold,trailing_distance,enable_breakeven,enable_trailing_take_profit,third_level_trailing_distance,filtering_active,beobachten_active,seite,min_price_change_pct_min,min_price_change_pct_max,price_change_lookback_minutes,symbol_observation_hours,close_position,allow_short,allow_long,filter_previous_day,previous_day_direction,require_timeframe_alignment,ema_fast_parameter,ema_slow_parameter,ema_baseline_parameter,back_trend_periode,min_trend_strength_parameter,min_trend_duration_parameter,rsi_period,rsi_buy,rsi_sell,rsi_exit_overbought,rsi_exit_oversold,volume_sma,volume_multiplier,volume_entry_multiplier,min_volume,use_momentum_check,momentum_lookback,momentum,use_bb,bb_period,bb_deviation,use_macd,macd_fast_period,macd_slow_period,macd_signal_period,use_adx,adx_period,adx_threshold,use_vwap,use_advanced_vwap,advanced_vwap_std_threshold,use_obv,obv_period,use_chaikin_money_flow,cmf_period,cmf_threshold,interval_int_2,interval_int_3,symbol,total_trades,win_rate,total_profit,max_drawdown,profit_factor,avg_profit,total_commission,avg_slippage,total_slippage,stop_loss_hits,take_profit_hits,signal_exits,trailing_stop_hits,observation_timeout_exits,backtest_end_exits,stop_loss_percent,take_profit_percent,signal_exits_percent,trailing_stop_percent,observation_timeout_percent,backtest_end_percent,advanced_vwap_periods,take_profit_levels,take_profit_size_percentages
34,ML-Guided,,True,0.078,0.052,0.0,1.0,False,False,1.0,False,False,long,3.71,38.01,190,9,True,True,True,False,bearish,False,8,128,116,5,0.26,4,8,65,28,96,24,29,2.88,2.21,0.3754,False,36,0.6438,True,14,3.81,False,20,58,13,False,27,39.4,False,False,1.0,False,7,False,35,-0.1,5m,5m,FARTCOINUSDT,365.0,0.3506849315068493,-30.946071244755814,127.31678767455216,0.8255703428850407,-0.0847837568349474,8.213832130204915,0.0749999999999989,0.0,14.0,110.0,241.0,0.0,0.0,0.0,3.8356164383561646,30.136986301369863,66.02739726027397,0.0,0.0,0.0,"[34, 128, 293]",[5.2],[100.0]
35,ML-Guided,,True,0.074,0.034,0.0,1.0,False,False,1.0,False,False,short,3.53,42.71,642,11,False,True,True,False,bearish,False,26,139,140,15,3.52,1,5,84,35,90,3,49,1.02,1.05,0.0783,False,36,0.6438,False,45,3.55,True,16,39,7,True,26,33.1,True,True,2.32,False,7,True,17,0.2,5m,5m,FARTCOINUSDT,100.0,0.52,-14.778460037132133,71.68873715328455,0.6755699046086826,-0.1477846003713213,2.244378639606888,0.0749999999999978,0.0,12.0,31.0,57.0,0.0,0.0,0.0,12.0,31.0,56.99999999999999,0.0,0.0,0.0,"[14, 106, 187]",[3.4],[100.0]
36,ML-Guided,,False,0.99,1.0,0.81,0.69,False,False,5.08,False,False,long,3.8,20.08,158,3,False,True,True,False,bullish,False,21,81,55,10,3.71,1,12,61,43,91,8,40,0.93,1.1,0.1956,True,38,0.16,True,43,3.8,False,20,58,13,True,12,24.3,False,False,1.0,False,7,False,35,-0.1,5m,5m,FARTCOINUSDT,290.0,0.5482758620689655,23.34357792148683,4.830691005735331,1.9134418938468396,0.080495096280989,6.238347883460167,0.0718965517241363,0.0,261.0,19.0,0.0,0.0,0.0,0.0,93.21428571428572,6.785714285714286,0.0,0.0,0.0,0.0,"[27, 52, 275]","[2.9, 4.2]","[50.0, 50.0]"
37,ML-Guided,,True,0.026,0.047,0.0,1.0,False,False,1.0,False,False,short,2.04,11.01,695,6,True,True,True,False,bearish,False,24,55,122,16,0.25,7,30,58,36,78,22,55,4.62,2.65,0.1356,False,36,0.6438,False,45,3.55,True,11,37,8,True,28,16.6,True,False,1.0,False,7,False,35,-0.1,5m,5m,FARTCOINUSDT,24.0,0.25,-4.909440419685912,24.53642921999997,0.5845995745325842,-0.204560017486913,0.5420692929929881,0.075,0.0,17.0,6.0,1.0,0.0,0.0,0.0,70.83333333333334,25.0,4.166666666666666,0.0,0.0,0.0,"[12, 60, 164]",[4.7],[100.0]
38,ML-Guided,,True,0.064,0.037,0.0,1.0,False,False,1.0,False,False,both,2.19,43.05,507,9,False,True,True,False,bearish,False,16,90,159,4,3.78,7,28,66,42,80,9,11,1.2,0.79,0.3681,True,30,0.59,True,38,3.68,False,20,58,13,False,27,39.4,False,False,1.0,True,20,False,35,-0.1,5m,5m,FARTCOINUSDT,166.0,0.6807228915662651,20.353739263854347,18.335558608543057,1.2513834880911936,0.1226128871316526,3.74410695595248,0.0749999999999981,0.0,43.0,111.0,12.0,0.0,0.0,0.0,25.903614457831324,66.86746987951807,7.228915662650602,0.0,0.0,0.0,"[39, 148, 232]",[3.7],[100.0]
39,ML-Guided,No trades or total_symbol_performance.csv not generated,True,0.08,0.039,0.0,1.0,False,False,1.0,False,False,long,4.78,19.57,481,6,False,True,True,False,bullish,False,27,147,115,16,2.61,9,14,60,37,88,22,55,4.74,1.31,0.149,False,36,0.6438,False,45,3.55,False,20,58,13,True,26,25.5,False,True,1.23,True,19,True,33,0.0,5m,5m,,,,,,,,,,,,,,,,,,,,,,,"[32, 71, 169]",[3.9],[100.0]
40,ML-Guided,,True,0.069,0.03,0.0,1.0,False,False,1.0,False,False,short,1.42,29.04,187,10,False,True,True,False,bearish,False,6,100,120,7,2.17,9,28,77,16,78,5,48,3.2,1.37,0.1338,False,36,0.6438,False,45,3.55,False,20,58,13,True,39,34.0,False,False,1.0,False,7,True,35,-0.02,5m,5m,FARTCOINUSDT,90.0,0.6444444444444445,6.439559653368339,20.472369404010667,1.18174044757908,0.0715506628152037,2.02577775575926,0.0749999999999989,0.0,8.0,57.0,25.0,0.0,0.0,0.0,8.88888888888889,63.33333333333333,27.77777777777778,0.0,0.0,0.0,"[11, 143, 212]",[3.0],[100.0]
41,ML-Guided,No trades or total_symbol_performance.csv not generated,True,0.016,0.062,0.0,1.0,False,False,1.0,False,False,long,4.43,48.45,390,4,False,True,True,False,bearish,False,20,36,250,17,3.56,9,8,63,15,76,7,11,1.86,0.92,0.3519,False,36,0.6438,False,45,3.55,False,20,58,13,True,24,19.7,True,True,1.28,True,26,True,23,-0.17,5m,5m,,,,,,,,,,,,,,,,,,,,,,,"[22, 65, 231]",[6.2],[100.0]
42,ML-Guided,,False,0.99,1.0,1.35,4.74,False,True,3.32,False,False,both,4.77,35.24,120,1,True,True,True,False,bullish,False,25,79,118,4,0.41,9,9,63,32,90,22,21,2.56,1.11,0.3581,False,36,0.6438,False,45,3.55,True,19,37,20,False,27,39.4,True,False,1.0,False,7,False,35,-0.1,5m,5m,FARTCOINUSDT,229.0,0.6593886462882096,-7.879357715647821,42.10872334033623,0.8313562340456205,-0.0344076756141826,2.73635997121193,0.0687772925764182,0.0,47.0,133.0,49.0,0.0,0.0,0.0,20.52401746724891,58.07860262008734,21.397379912663755,0.0,0.0,0.0,"[35, 96, 220]","[1.5, 4.9, 5.8]","[33.33, 33.33, 33.33]"
43,ML-Guided,,True,0.022,0.017,0.0,1.0,False,False,1.0,False,False,both,3.65,35.42,208,6,True,True,True,False,bullish,False,20,84,137,9,1.01,8,10,66,42,86,14,39,4.92,0.8,0.1328,False,36,0.6438,False,45,3.55,False,20,58,13,False,27,39.4,True,True,1.37,True,5,False,35,-0.1,5m,5m,FARTCOINUSDT,6.0,0.3333333333333333,-0.9869841176289056,5.473651015866653,0.4498463730873002,-0.1644973529381509,0.1353802932790425,0.0749999999999989,0.0,3.0,1.0,1.0,0.0,0.0,0.0,60.0,20.0,20.0,0.0,0.0,0.0,"[32, 97, 181]",[1.7],[100.0]
44,ML-Guided,,True,0.024,0.038,0.0,1.0,False,False,1.0,False,False,long,3.07,22.01,330,4,True,True,True,False,bearish,False,25,129,71,12,1.17,9,21,72,23,88,16,22,2.62,0.81,0.4046,False,36,0.6438,False,45,3.55,True,19,39,13,True,8,20.4,True,False,1.0,True,22,False,35,-0.1,5m,5m,FARTCOINUSDT,177.0,0.3220338983050847,-21.863255902500008,89.5153799687039,0.7073563673595418,-0.1235212197881356,3.9768059025,0.0749999999999986,0.0,120.0,57.0,0.0,0.0,0.0,0.0,67.79661016949152,32.20338983050847,0.0,0.0,0.0,0.0,"[37, 132, 247]",[3.8],[100.0]
45,ML-Guided,,True,0.079,0.077,0.0,1.0,False,False,1.0,False,False,long,4.22,20.4,279,3,True,True,True,False,bullish,False,24,70,148,20,0.14,1,10,62,45,85,17,12,1.87,2.07,0.3842,False,36,0.6438,False,45,3.55,True,17,29,11,True,22,21.1,False,False,1.0,True,29,False,35,-0.1,5m,5m,FARTCOINUSDT,25.0,0.36,-2.447019134835924,19.40330228558898,0.738726416864081,-0.0978807653934369,0.5648891153160571,0.0749999999999975,0.0,0.0,1.0,24.0,0.0,0.0,0.0,0.0,4.0,96.0,0.0,0.0,0.0,"[48, 72, 240]",[7.7],[100.0]
46,ML-Guided,,True,0.08,0.046,0.0,1.0,False,False,1.0,False,False,long,3.23,29.61,467,12,False,True,True,False,bearish,False,20,133,140,13,2.93,5,29,55,27,75,3,26,4.34,2.9,0.2316,False,36,0.6438,False,45,3.55,True,5,37,14,False,27,39.4,False,False,1.0,True,14,True,7,0.21,5m,5m,FARTCOINUSDT,27.0,0.5925925925925926,1.957629028127648,17.743075436724737,1.122073287786601,0.0725047788195425,0.6045245308984383,0.075,0.0,5.0,16.0,6.0,0.0,0.0,0.0,18.51851851851852,59.25925925925925,22.22222222222222,0.0,0.0,0.0,"[10, 84, 279]",[4.6],[100.0]
47,ML-Guided,,True,0.027,0.075,0.0,1.0,False,False,1.0,False,False,long,2.98,20.83,70,2,False,True,True,False,bullish,False,19,137,106,5,1.7,8,5,84,18,86,3,24,0.86,2.18,0.1367,True,37,0.4,False,45,3.55,False,20,58,13,True,10,33.5,False,False,1.0,False,7,False,35,-0.1,5m,5m,FARTCOINUSDT,360.0,0.3611111111111111,-25.473454337044327,111.40947668229076,0.8016251183218847,-0.0707595953806786,8.097539277039088,0.0749999999999982,0.0,166.0,35.0,159.0,0.0,0.0,0.0,46.11111111111112,9.722222222222223,44.16666666666666,0.0,0.0,0.0,"[11, 78, 282]",[7.5],[100.0]
48,ML-Guided,No trades or total_symbol_performance.csv not generated,True,0.074,0.061,0.0,1.0,False,False,1.0,False,False,short,1.39,32.51,670,4,True,True,True,False,bullish,False,15,87,99,20,4.72,9,24,78,24,83,2,10,3.58,1.42,0.0601,False,36,0.6438,False,45,3.55,False,20,58,13,True,37,38.1,True,True,0.32,True,13,True,33,-0.05,5m,5m,,,,,,,,,,,,,,,,,,,,,,,"[20, 110, 235]",[6.1],[100.0]
49,ML-Guided,,True,0.059,0.028,0.0,1.0,False,False,1.0,False,False,short,4.47,43.6,143,2,True,True,True,False,bullish,False,17,96,209,12,4.27,5,6,58,34,96,4,27,3.28,0.5,0.3586,True,17,0.68,False,45,3.55,False,20,58,13,True,26,16.1,False,True,1.26,False,7,True,40,-0.25,5m,5m,FARTCOINUSDT,4.0,0.25,-4.363255806775103,17.453023227100417,0.0279391448808731,-1.0908139516937758,0.0907243958650904,0.0749999999999994,0.0,3.0,0.0,1.0,0.0,0.0,0.0,75.0,0.0,25.0,0.0,0.0,0.0,"[35, 116, 196]",[2.8],[100.0]
50,ML-Guided,,False,0.99,1.0,1.45,5.07,False,False,5.65,False,False,both,2.95,9.76,648,6,False,True,True,False,bullish,False,28,85,54,5,4.0,3,22,55,16,88,8,55,3.61,2.44,0.0243,False,36,0.6438,True,39,3.94,False,20,58,13,False,27,39.4,True,False,1.0,True,10,False,35,-0.1,5m,5m,FARTCOINUSDT,16.0,0.8125,1.6445828592325331,8.378619295193753,1.654172252521414,0.1027864287020333,0.1562171400003452,0.0515624999999999,0.0,3.0,13.0,0.0,0.0,0.0,0.0,18.75,81.25,0.0,0.0,0.0,0.0,"[48, 118, 152]","[2.8, 4.4, 4.9]","[33.33, 33.33, 33.33]"
