trial,selected_by,error,use_standard_sl_tp,stop_loss_parameter_binance,take_profit_parameter_binance,activation_threshold,trailing_distance,adjustment_step,third_level_trailing_distance,enable_breakeven,enable_trailing_take_profit,filtering_active,beobachten_active,seite,min_price_change_pct_min,min_price_change_pct_max,price_change_lookback_minutes,symbol_observation_hours,close_position,allow_short,allow_long,filter_previous_day,previous_day_direction,require_timeframe_alignment,ema_fast_parameter,ema_slow_parameter,ema_baseline_parameter,back_trend_periode,min_trend_strength_parameter,min_trend_duration_parameter,rsi_period,rsi_buy,rsi_sell,rsi_exit_overbought,rsi_exit_oversold,volume_sma,volume_multiplier,volume_entry_multiplier,min_volume,use_momentum_check,momentum_lookback,momentum,use_bb,bb_period,bb_deviation,use_macd,macd_fast_period,macd_slow_period,macd_signal_period,use_adx,adx_period,adx_threshold,use_vwap,use_advanced_vwap,advanced_vwap_std_threshold,use_obv,obv_period,use_chaikin_money_flow,cmf_period,cmf_threshold,interval_int_2,interval_int_3,symbol,total_trades,win_rate,total_profit,max_drawdown,profit_factor,avg_profit,total_commission,avg_slippage,total_slippage,stop_loss_hits,take_profit_hits,signal_exits,trailing_stop_hits,observation_timeout_exits,backtest_end_exits,stop_loss_percent,take_profit_percent,signal_exits_percent,trailing_stop_percent,observation_timeout_percent,backtest_end_percent,advanced_vwap_periods,take_profit_levels,take_profit_size_percentages
127,ML-Guided,,False,0.99,1.0,0.7,2.08,1.32,1.0,True,False,False,False,both,3.9,23.74,133,4,False,True,True,False,bearish,False,30,86,185,8,0.97,3,9,74,36,98,26,13,2.83,1.96,0.8021,False,36,0.6438,True,25,2.18,False,20,58,13,False,35,32.2,True,True,0.94,False,11,False,1,0.0,5m,5m,,91.0,0.3076923076923077,-112.30509669218074,441.0132710390583,0.5556494668488952,-1.234121941672316,20.44719222951776,0.7499999999999972,0.0,46.0,24.0,21.0,32.0,0.0,0.0,37.39837398373984,19.51219512195122,17.073170731707318,26.01626016260163,0.0,0.0,"[38, 72, 281]",[2.3],[100.0]
128,ML-Guided,,False,0.99,1.0,0.72,1.51,0.72,3.74,False,True,False,False,both,1.73,18.24,84,11,False,True,True,False,bullish,False,25,73,123,17,1.2,3,18,56,17,88,8,27,3.03,1.36,0.9914,True,8,0.6509,False,11,1.73,False,20,58,13,True,37,17.7,True,False,0.89,True,14,True,12,-0.06,5m,5m,,156.0,0.4102564102564102,-255.9207421711488,1041.072227267929,0.2193261927159221,-1.6405175780201846,25.45243573789496,0.6538461538461535,0.0,91.0,56.0,0.0,17.0,0.0,0.0,55.487804878048784,34.14634146341464,0.0,10.365853658536585,0.0,0.0,"[36, 72, 295]","[0.7, 2.4, 2.4]","[33.33, 33.33, 33.33]"
129,ML-Guided,No trades or total_symbol_performance.csv not generated,True,0.0501,0.0647,0.0,1.0,0.1,1.0,False,False,False,False,both,3.21,23.49,30,3,False,True,True,False,bullish,False,29,115,241,8,4.22,6,6,75,23,94,8,45,2.56,1.25,0.8909,False,36,0.6438,True,30,1.73,True,18,53,9,True,21,35.5,False,True,1.17,False,11,True,15,-0.25,5m,5m,,,,,,,,,,,,,,,,,,,,,,,"[22, 123, 167]",[6.5],[100.0]
130,ML-Guided,No trades or total_symbol_performance.csv not generated,False,0.99,1.0,0.78,0.3,0.39,1.0,True,False,False,False,short,2.2,5.14,90,4,False,True,True,False,bearish,False,30,84,246,16,3.74,1,20,59,39,82,14,32,4.71,0.56,0.7931,False,36,0.6438,False,11,1.73,False,20,58,13,False,35,32.2,False,True,1.41,False,11,True,17,-0.17,5m,5m,,,,,,,,,,,,,,,,,,,,,,,"[47, 106, 176]",[1.1],[100.0]
131,ML-Guided,No trades or total_symbol_performance.csv not generated,True,0.0678,0.0185,0.0,1.0,0.1,1.0,False,False,False,False,short,1.17,31.2,35,12,True,True,True,False,bullish,False,13,33,249,11,4.4,4,18,73,41,81,19,38,2.3,1.55,0.6729,True,20,0.9217,False,11,1.73,False,20,58,13,True,23,17.9,False,False,0.89,False,11,True,9,-0.2,5m,5m,,,,,,,,,,,,,,,,,,,,,,,"[23, 111, 236]",[1.8],[100.0]
132,ML-Guided,No trades or total_symbol_performance.csv not generated,True,0.0424,0.0496,0.0,1.0,0.1,1.0,False,False,False,False,short,3.79,16.65,32,8,True,True,True,False,bullish,False,30,69,94,7,0.11,9,9,74,34,91,4,52,4.08,2.07,0.0828,True,4,0.9135,True,36,1.95,True,24,30,7,False,35,32.2,True,True,1.61,False,11,True,20,0.13,5m,5m,,,,,,,,,,,,,,,,,,,,,,,"[41, 93, 173]",[5.0],[100.0]
133,ML-Guided,No trades or total_symbol_performance.csv not generated,True,0.0253,0.0415,0.0,1.0,0.1,1.0,False,False,False,False,short,2.45,11.87,90,8,False,True,True,False,bearish,False,25,128,94,4,0.72,3,14,56,24,90,14,56,1.46,0.46,0.7609,False,36,0.6438,True,28,3.5,True,7,54,14,True,34,25.5,True,True,1.69,True,5,True,21,-0.16,5m,5m,,,,,,,,,,,,,,,,,,,,,,,"[12, 139, 183]",[4.2],[100.0]
134,ML-Guided,No trades or total_symbol_performance.csv not generated,False,0.99,1.0,0.98,4.79,0.08,1.0,True,False,False,False,both,4.19,49.46,229,5,False,True,True,False,bullish,False,14,34,56,5,3.06,3,25,63,28,88,16,23,2.03,0.5,0.6512,False,36,0.6438,False,11,1.73,False,20,58,13,False,35,32.2,True,True,1.27,True,19,False,1,0.0,5m,5m,,,,,,,,,,,,,,,,,,,,,,,"[12, 53, 168]","[1.4, 4.3]","[50.0, 50.0]"
135,ML-Guided,,False,0.99,1.0,0.18,3.41,0.81,1.0,True,False,False,False,both,1.79,49.9,79,4,False,True,True,False,bearish,False,16,102,70,17,3.04,3,25,72,21,95,6,56,1.65,0.93,0.5808,True,22,0.5671,False,11,1.73,True,10,34,15,True,14,19.8,True,True,2.42,True,14,False,1,0.0,5m,5m,,8.0,0.125,-48.05658219185633,192.2263287674253,0.1938283197649802,-6.007072773982041,1.784577597932734,0.7499999999999715,0.0,6.0,1.0,1.0,2.0,0.0,0.0,60.0,10.0,10.0,20.0,0.0,0.0,"[49, 106, 196]",[4.7],[100.0]
136,ML-Guided,No trades or total_symbol_performance.csv not generated,True,0.0271,0.048,0.0,1.0,0.1,1.0,False,False,False,False,short,2.27,29.91,234,5,True,True,True,False,bearish,False,30,95,98,10,0.99,1,30,76,29,98,18,56,4.36,0.78,0.7185,False,36,0.6438,True,39,2.89,True,19,30,7,False,35,32.2,True,True,2.48,False,11,True,26,0.26,5m,5m,,,,,,,,,,,,,,,,,,,,,,,"[17, 94, 277]",[4.8],[100.0]
137,ML-Guided,No trades or total_symbol_performance.csv not generated,True,0.026,0.0298,0.0,1.0,0.1,1.0,False,False,False,False,long,4.14,45.08,209,12,False,True,True,False,bullish,False,30,47,205,8,4.73,4,6,70,35,97,22,41,1.35,1.65,0.9817,False,36,0.6438,True,12,3.8,False,20,58,13,False,35,32.2,True,True,1.47,False,11,True,11,0.12,5m,5m,,,,,,,,,,,,,,,,,,,,,,,"[40, 106, 163]",[3.0],[100.0]
