date,time_start,time_end,open,high,low,close,volume,change,change_percent
2024-06-16,05:00,04:59,3553.32,3653.73,3545.73,3589.04,1603281.8530000001,35.7199999999998,1.0052570553735605
2024-06-17,05:00,04:59,3589.04,3595.29,3341.85,3443.98,3617064.448,-145.05999999999995,-4.041749325724983
2024-06-18,05:00,04:59,3443.97,3585.0,3367.73,3559.34,2935608.261,115.37000000000035,3.3499130364085734
2024-06-19,05:00,04:59,3559.35,3594.6,3510.03,3569.21,2005559.628,9.860000000000127,0.2770168710579215
2024-06-20,05:00,04:59,3569.22,3625.0,3483.63,3515.93,2412885.217,-53.289999999999964,-1.493043297975467
2024-06-21,05:00,04:59,3515.92,3546.66,3443.8,3507.09,2358601.578,-8.829999999999927,-0.25114337072515663
2024-06-22,05:00,04:59,3507.09,3519.7,3472.57,3512.72,826571.5190000001,5.629999999999654,0.16053195099069753
2024-06-23,05:00,04:59,3512.72,3516.78,3381.71,3406.17,1766181.884,-106.54999999999973,-3.033261973627267
2024-06-24,05:00,04:59,3406.17,3408.53,3213.0,3389.59,4113396.851,-16.579999999999927,-0.4867637258269531
2024-06-25,05:00,04:59,3389.78,3431.27,3345.0,3385.93,1817797.818,-3.850000000000364,-0.11357669229272588
2024-06-26,05:00,04:59,3385.93,3416.95,3325.54,3384.27,1746949.006,-1.6599999999998545,-0.049026412241241095
2024-06-27,05:00,04:59,3384.28,3487.98,3364.53,3458.41,1922730.493,74.12999999999965,2.1904215963218068
2024-06-28,05:00,04:59,3458.4,3475.0,3362.0,3387.9,1860127.017,-70.5,-2.03851492019431
2024-06-29,05:00,04:59,3387.89,3407.0,3348.5,3362.36,771918.669,-25.529999999999745,-0.7535663790736933
2024-06-30,05:00,04:59,3362.35,3524.16,3357.04,3485.28,1503014.8390000002,122.93000000000029,3.6560738769015804
2024-07-01,05:00,04:59,3485.28,3498.91,3420.0,3453.19,1322407.0579999997,-32.090000000000146,-0.9207294679337138
2024-07-02,05:00,04:59,3453.18,3463.07,3328.01,3360.01,1638546.896,-93.16999999999962,-2.698092772458998
2024-07-03,05:00,04:59,3360.0,3372.09,3152.54,3235.33,2918227.435,-124.67000000000007,-3.710416666666669
2024-07-04,05:00,04:59,3235.34,3236.27,2800.0,2865.23,5504840.471,-370.1100000000001,-11.439601402016484
2024-07-05,05:00,04:59,2865.23,3026.4,2821.84,2961.3,3523223.8,96.07000000000016,3.352959448281644
2024-07-06,05:00,04:59,2961.31,3080.0,2960.78,3029.05,1509535.891,67.74000000000024,2.287501139698317
2024-07-07,05:00,04:59,3029.04,3037.99,2821.26,2912.74,2646476.8899999997,-116.30000000000018,-3.839500303726599
2024-07-08,05:00,04:59,2912.76,3098.0,2886.62,3069.21,3978519.785,156.44999999999982,5.37119433114983
2024-07-09,05:00,04:59,3069.21,3129.0,3022.57,3117.4,2219932.054,48.190000000000055,1.5701108754370035
2024-07-10,05:00,04:59,3117.39,3150.0,3052.75,3083.31,1990632.119,-34.07999999999993,-1.093222214737326
2024-07-11,05:00,04:59,3083.32,3216.6,3053.84,3082.21,2651199.866,-1.1100000000001273,-0.03600015567635299
2024-07-12,05:00,04:59,3082.21,3156.6,3044.51,3114.8,1620615.335,32.590000000000146,1.0573581942826786
2024-07-13,05:00,04:59,3114.79,3200.72,3112.3,3191.72,1191466.6209999998,76.92999999999984,2.4698294267029186
2024-07-14,05:00,04:59,3191.72,3341.95,3171.47,3335.21,1794374.122,143.49000000000024,4.4956951110999785
