trial,selected_by,error,use_standard_sl_tp,stop_loss_parameter_binance,take_profit_parameter_binance,activation_threshold,trailing_distance,adjustment_step,third_level_trailing_distance,enable_breakeven,filtering_active,beobachten_active,seite,min_price_change_pct_min,min_price_change_pct_max,price_change_lookback_minutes,symbol_observation_hours,close_position,allow_short,allow_long,filter_previous_day,previous_day_direction,require_timeframe_alignment,ema_fast_parameter,ema_slow_parameter,ema_baseline_parameter,back_trend_periode,min_trend_strength_parameter,min_trend_duration_parameter,rsi_period,rsi_buy,rsi_sell,rsi_exit_overbought,rsi_exit_oversold,volume_sma,volume_multiplier,volume_entry_multiplier,min_volume,use_momentum_check,momentum_lookback,momentum,use_bb,bb_period,bb_deviation,use_macd,macd_fast_period,macd_slow_period,macd_signal_period,use_adx,adx_period,adx_threshold,use_vwap,use_advanced_vwap,advanced_vwap_std_threshold,use_obv,obv_period,use_chaikin_money_flow,cmf_period,cmf_threshold,interval_int_2,interval_int_3,symbol,total_trades,win_rate,total_profit,max_drawdown,profit_factor,avg_profit,total_commission,avg_slippage,total_slippage,stop_loss_hits,take_profit_hits,signal_exits,trailing_stop_hits,observation_timeout_exits,backtest_end_exits,stop_loss_percent,take_profit_percent,signal_exits_percent,trailing_stop_percent,observation_timeout_percent,backtest_end_percent,advanced_vwap_periods,enable_trailing_take_profit,take_profit_levels,take_profit_size_percentages
177,ML-Guided,No trades or total_symbol_performance.csv not generated,True,0.036,0.06,0.0,1.0,0.1,1.0,False,False,False,both,1.02,6.89,90,7,False,True,True,False,bullish,False,19,31,241,10,2.18,3,24,55,34,77,3,18,4.24,2.05,0.9646,False,36,0.6438,False,11,1.73,True,14,60,13,False,35,32.2,False,False,0.89,True,14,False,1,0.0,5m,5m,,,,,,,,,,,,,,,,,,,,,,,"[43, 86, 277]",False,[6.0],[100.0]
178,ML-Guided,No trades or total_symbol_performance.csv not generated,True,0.062,0.032,0.0,1.0,0.1,1.0,False,False,False,long,3.75,42.02,58,10,True,True,True,False,bullish,False,16,40,232,12,4.58,7,6,68,40,78,4,47,3.93,1.85,0.7965,False,36,0.6438,False,11,1.73,True,21,52,14,False,35,32.2,True,False,0.89,True,5,True,29,0.28,5m,5m,,,,,,,,,,,,,,,,,,,,,,,"[30, 95, 294]",False,[3.2],[100.0]
179,ML-Guided,No trades or total_symbol_performance.csv not generated,True,0.03,0.022,0.0,1.0,0.1,1.0,False,False,False,short,2.11,18.08,444,5,True,True,True,False,bearish,False,29,53,163,3,4.84,10,27,56,19,89,5,51,3.51,2.47,0.094,False,36,0.6438,True,33,2.57,True,19,55,19,False,35,32.2,True,False,0.89,True,18,True,18,-0.0,5m,5m,,,,,,,,,,,,,,,,,,,,,,,"[32, 120, 236]",False,[2.2],[100.0]
180,ML-Guided,,True,0.047,0.04,0.0,1.0,0.1,1.0,False,False,False,long,4.03,29.75,336,2,False,True,True,False,bearish,False,15,52,139,3,1.33,8,25,56,28,86,23,46,1.76,2.41,0.4352,False,36,0.6438,False,11,1.73,False,20,58,13,True,17,35.6,False,True,0.49,True,22,False,1,0.0,5m,5m,CHILLGUYUSDT,2.0,0.5,2.055021624999993,30.97915950000012,1.265342463535847,1.0275108124999963,0.452478375,0.7499999999999787,0.0,1.0,1.0,0.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,"[49, 110, 211]",False,[4.0],[100.0]
181,ML-Guided,,True,0.035,0.024,0.0,1.0,0.1,1.0,False,False,False,short,4.01,21.62,103,10,False,True,True,False,bullish,False,11,35,72,14,0.08,9,5,65,33,83,23,12,2.86,1.16,0.2303,True,27,0.94,False,11,1.73,False,20,58,13,True,10,34.3,True,True,2.45,True,26,False,1,0.0,5m,5m,CHILLGUYUSDT,15.0,0.3333333333333333,-11.10937046272597,96.63264507632066,0.7601454876734286,-0.7406246975150647,3.372378470092934,0.7499999999999936,0.0,3.0,3.0,9.0,0.0,0.0,0.0,20.0,20.0,60.0,0.0,0.0,0.0,"[10, 81, 271]",False,[2.4],[100.0]
182,ML-Guided,,True,0.058,0.057,0.0,1.0,0.1,1.0,False,False,False,short,3.8,21.66,179,4,True,True,True,False,bearish,False,23,31,233,5,1.58,2,10,84,20,92,3,57,2.3,0.86,0.9846,True,25,0.75,True,22,1.89,True,7,50,6,True,12,36.3,False,True,1.98,True,7,True,12,-0.19,5m,5m,CHILLGUYUSDT,1.0,0.0,-7.744789875,30.97915950000001,0.0,-7.744789875,0.2222898749999999,0.7499999999999858,0.0,1.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,"[43, 80, 217]",False,[5.7],[100.0]
183,ML-Guided,,True,0.054,0.034,0.0,1.0,0.1,1.0,False,False,False,short,3.79,39.54,559,1,True,True,True,False,bullish,False,21,110,122,16,3.14,9,6,57,41,92,2,59,3.76,1.26,0.7783,False,36,0.6438,True,31,2.61,True,25,51,10,True,23,18.6,True,False,0.89,True,14,True,28,0.28,5m,5m,CHILLGUYUSDT,1.0,1.0,9.750161500000022,0.0,1000.0,9.750161500000022,0.2198385,0.7499999999999875,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,"[40, 64, 259]",False,[3.4],[100.0]
184,ML-Guided,,True,0.016,0.07,0.0,1.0,0.1,1.0,False,False,False,short,4.64,17.3,506,9,True,True,True,False,bearish,False,16,38,219,12,0.98,7,6,57,35,94,29,26,4.06,2.55,0.3344,True,6,0.82,True,44,3.34,False,20,58,13,False,35,32.2,True,False,0.89,False,11,True,25,-0.16,5m,5m,CHILLGUYUSDT,4.0,0.5,4.089943250000046,30.82075949999995,1.2654018470894624,1.0224858125000116,0.89505675,0.7500000000000121,0.0,2.0,2.0,0.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,"[46, 149, 241]",False,[7.0],[100.0]
185,ML-Guided,,True,0.015,0.035,0.0,1.0,0.1,1.0,False,False,False,short,2.34,42.19,290,9,False,True,True,False,bearish,False,20,92,218,11,0.26,7,6,74,30,82,10,16,4.88,0.87,0.7143,False,36,0.6438,True,36,1.54,True,9,44,12,True,14,34.6,False,False,0.89,True,25,True,5,0.17,5m,5m,CHILLGUYUSDT,2.0,0.5,6.161082623693373,14.35631550522649,2.7166194547480926,3.0805413118466864,0.4456769581881533,0.7499999999999918,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,"[34, 114, 167]",False,[3.5],[100.0]
186,ML-Guided,No trades or total_symbol_performance.csv not generated,False,0.99,1.0,0.76,4.64,0.73,4.66,True,False,False,both,4.03,5.62,576,4,True,True,True,False,bearish,False,28,85,122,5,3.76,9,22,57,21,77,11,27,2.53,1.84,0.8801,True,12,1.0,True,19,3.02,False,20,58,13,True,16,33.4,True,True,0.85,True,26,False,1,0.0,5m,5m,,,,,,,,,,,,,,,,,,,,,,,"[16, 104, 246]",True,"[4.0, 4.1, 4.3]","[33.33, 33.33, 33.33]"
